feature,source,
INV_PLACE_NON_LOW_UNROUNDED,uriel,
INV_APICICAL_LAMIMANL,uriel,
INV_VELAR_UVULAR,uriel,
INV_NASAL_MINUS_NASAL,uriel,
INV_TENSE_MINUS_TENSE,uriel,
INV_ROUND_MINUS_ROUND,uriel,
INV_HI_MINUS_HI,uriel,
INV_LO_MINUS_LO,uriel,
INV_VOWEL_3,uriel,
INV_VOWEL_4,uriel,
INV_VOWEL_5,uriel,
INV_VOWEL_6,uriel,
INV_VOWEL_7,uriel,
INV_VOW_8,uriel,
INV_VOW_9,uriel,
INV_VOW_10_MORE,uriel,
INV_CONS_ASP,uriel,
INV_OBS_VD_VLESS,uriel,
INV_CONT_VD_VLESS,uriel,
INV_SON_VD_VLESS,uriel,
INV_VOW_VD_VLESS,uriel,
S_GENDER_MARK,uriel,
S_SEX_MARK,uriel,
S_DEFINITE_AFFIX,uriel,
S_DEFINITE_WORD,uriel,
S_INDEFINITE_AFFIX,uriel,
S_INDEFINITE_WORD,uriel,
S_POSSESSIVE_PREFIX,uriel,
S_POSSESSIVE_SUFFIX,uriel,
S_ADPOSITION_BEFORE_NOUN,uriel,
S_ADPOSITION_AFTER_NOUN,uriel,
S_POSSESSOR_BEFORE_NOUN,uriel,
S_POSSESSOR_AFTER_NOUN,uriel,
S_ADJECTIVE_BEFORE_NOUN,uriel,
S_ADJECTIVE_AFTER_NOUN,uriel,
S_DEMONSTRATIVE_WORD_BEFORE_NOUN,uriel,
S_DEMONSTRATIVE_WORD_AFTER_NOUN,uriel,
S_DEMONSTRATIVE_PREFIX,uriel,
S_DEMONSTRATIVE_SUFFIX,uriel,
S_NUMERAL_BEFORE_NOUN,uriel,
S_NUMERAL_AFTER_NOUN,uriel,
S_RELATIVE_BEFORE_NOUN,uriel,
S_RELATIVE_AFTER_NOUN,uriel,
S_RELATIVE_AROUND_NOUN,uriel,
S_NOMINATIVE_VS_ACCUSATIVE_MARK,uriel,
S_ERGATIVE_VS_ABSOLUTIVE_MARK,uriel,
S_NEGATIVE_WORD_BEFORE_VERB,uriel,
S_NEGATIVE_PREFIX,uriel,
S_NEGATIVE_WORD_AFTER_VERB,uriel,
S_NEGATIVE_SUFFIX,uriel,
S_NEGATIVE_WORD_BEFORE_SUBJECT,uriel,
S_NEGATIVE_WORD_AFTER_SUBJECT,uriel,
S_NEGATIVE_WORD_BEFORE_OBJECT,uriel,
S_NEGATIVE_WORD_AFTER_OBJECT,uriel,
S_NEGATIVE_WORD_INITIAL,uriel,
S_NEGATIVE_WORD_FINAL,uriel,
S_NEGATIVE_WORD_ADJACENT_BEFORE_VERB,uriel,
S_NEGATIVE_WORD_ADJACENT_AFTER_VERB,uriel,
S_PLURAL_PREFIX,uriel,
S_PLURAL_SUFFIX,uriel,
S_PLURAL_WORD,uriel,
P_VELAR_NASAL,uriel,
P_VELAR_NASAL_INITIAL,uriel,
S_OBJECT_HEADMARK,uriel,
S_OBJECT_DEPMARK,uriel,
S_POSSESSIVE_HEADMARK,uriel,
S_POSSESSIVE_DEPMARK,uriel,
S_TEND_HEADMARK,uriel,
S_TEND_DEPMARK,uriel,
S_TEND_PREFIX,uriel,
S_TEND_SUFFIX,uriel,
S_ANY_REDUP,uriel,
S_CASE_PREFIX,uriel,
S_CASE_SUFFIX,uriel,
S_CASE_PROCLITIC,uriel,
S_CASE_ENCLITIC,uriel,
S_CASE_MARK,uriel,
S_COMITATIVE_VS_INSTRUMENTAL_MARK,uriel,
S_NUMCLASS_MARK,uriel,
S_ADJECTIVE_WITHOUT_NOUN,uriel,
S_PERFECTIVE_VS_IMPERFECTIVE_MARK,uriel,
S_PAST_VS_PRESENT_MARK,uriel,
S_FUTURE_AFFIX,uriel,
S_TAM_PREFIX,uriel,
S_TAM_SUFFIX,uriel,
S_DEGREE_WORD_BEFORE_ADJECTIVE,uriel,
S_DEGREE_WORD_AFTER_ADJECTIVE,uriel,
S_POLARQ_MARK_INITIAL,uriel,
S_POLARQ_MARK_FINAL,uriel,
S_POLARQ_MARK_SECOND,uriel,
S_POLARQ_WORD,uriel,
S_POLARQ_AFFIX,uriel,
S_SUBORDINATOR_WORD_BEFORE_CLAUSE,uriel,
S_SUBORDINATOR_WORD_AFTER_CLAUSE,uriel,
S_SUBORDINATOR_SUFFIX,uriel,
S_PROSUBJECT_WORD,uriel,
S_PROSUBJECT_AFFIX,uriel,
S_PROSUBJECT_CLITIC,uriel,
S_NEGATIVE_AFFIX,uriel,
S_NEGATIVE_WORD,uriel,
S_ANY_AGREEMENT_ON_ADJECTIVES,uriel,
S_COMPLEMENTIZER_WORD_BEFORE_CLAUSE,uriel,
S_COMPLEMENTIZER_WORD_AFTER_CLAUSE,uriel,
S_VOX,uriel,
S_XVO,uriel,
S_XOV,uriel,
S_OXV,uriel,
S_OVX,uriel,
S_OBLIQUE_AFTER_VERB,uriel,
S_OBLIQUE_AFTER_OBJECT,uriel,
S_OBLIQUE_BEFORE_VERB,uriel,
S_OBLIQUE_BEFORE_OBJECT,uriel,
S_ARTICLE_WORD_BEFORE_NOUN,uriel,
S_ARTICLE_WORD_AFTER_NOUN,uriel,
P_CODAS,uriel,
P_COMPLEX_CODAS,uriel,
P_LONG_VOWELS,uriel,
S_ARE_THERE_DEFINITE_OR_SPECIFIC_ARTICLES?,grambank,
S_DO_INDEFINITE_NOMINALS_COMMONLY_HAVE_INDEFINITE_ARTICLES?,grambank,
S_ARE_THERE_PRENOMINAL_ARTICLES?,grambank,
S_ARE_THERE_POSTNOMINAL_ARTICLES?,grambank,
S_WHAT_IS_THE_ORDER_OF_NUMERAL_AND_NOUN_IN_THE_NP?_NUM-N,grambank,
S_WHAT_IS_THE_ORDER_OF_NUMERAL_AND_NOUN_IN_THE_NP?_N-NUM,grambank,
S_WHAT_IS_THE_ORDER_OF_ADNOMINAL_DEMONSTRATIVE_AND_NOUN?_DEM-N,grambank,
S_WHAT_IS_THE_ORDER_OF_ADNOMINAL_DEMONSTRATIVE_AND_NOUN?_N-DEM,grambank,
S_CAN_ADNOMINAL_PROPERTY_WORDS_OCCUR_DISCONTINUOUSLY?,grambank,
S_ARE_NOMINAL_CONJUNCTION_AND_COMITATIVE_EXPRESSED_BY_DIFFERENT_ELEMENTS?,grambank,
S_IS_THERE_A_DISTINCTION_BETWEEN_INCLUSIVE_AND_EXCLUSIVE?,grambank,
S_IS_THERE_A_GENDER_DISTINCTION_IN_INDEPENDENT_3RD_PERSON_PRONOUNS?,grambank,
S_IS_THERE_A_DUAL_OR_UNIT_AUGMENTED_FORM_(IN_ADDITION_TO_PLURAL_OR_AUGMENTED)_FOR_ALL_PERSON_CATEGORIES_IN_THE_PRONOUN_SYSTEM?,grambank,
S_ARE_THERE_THREE_OR_MORE_DISTANCE_CONTRASTS_IN_DEMONSTRATIVES?,grambank,
S_DO_DEMONSTRATIVES_SHOW_AN_ELEVATION_DISTINCTION?,grambank,
S_DO_DEMONSTRATIVES_SHOW_A_VISIBLE-NONVISIBLE_DISTINCTION?,grambank,
S_ARE_THERE_DEMONSTRATIVE_CLASSIFIERS?,grambank,
M_IS_THERE_NONPHONOLOGICAL_ALLOMORPHY_OF_NOUN_NUMBER_MARKERS?,grambank,
M_ARE_THERE_SEVERAL_NOUNS_(MORE_THAN_THREE)_WHICH_ARE_SUPPLETIVE_FOR_NUMBER?,grambank,
M_IS_THERE_PRODUCTIVE_OVERT_MORPHOLOGICAL_SINGULAR_MARKING_ON_NOUNS?,grambank,
M_IS_THERE_PRODUCTIVE_MORPHOLOGICAL_DUAL_MARKING_ON_NOUNS?,grambank,
M_IS_THERE_PRODUCTIVE_MORPHOLOGICAL_PLURAL_MARKING_ON_NOUNS?,grambank,
M_IS_THERE_AN_ASSOCIATIVE_PLURAL_MARKER_FOR_NOUNS?,grambank,
M_IS_THERE_A_PRODUCTIVE_MORPHOLOGICAL_PATTERN_FOR_DERIVING_AN_ACTION/STATE_NOUN_FROM_A_VERB?,grambank,
M_IS_THERE_A_PRODUCTIVE_MORPHOLOGICAL_PATTERN_FOR_DERIVING_AN_AGENT_NOUN_FROM_A_VERB?,grambank,
M_IS_THERE_A_PRODUCTIVE_MORPHOLOGICAL_PATTERN_FOR_DERIVING_AN_OBJECT_NOUN_FROM_A_VERB?,grambank,
S_IS_THERE_A_GENDER/NOUN_CLASS_SYSTEM_WHERE_SEX_IS_A_FACTOR_IN_CLASS_ASSIGNMENT?,grambank,
S_IS_THERE_A_GENDER/NOUN_CLASS_SYSTEM_WHERE_SHAPE_IS_A_FACTOR_IN_CLASS_ASSIGNMENT?,grambank,
S_IS_THERE_A_GENDER/NOUN_CLASS_SYSTEM_WHERE_ANIMACY_IS_A_FACTOR_IN_CLASS_ASSIGNMENT?,grambank,
S_IS_THERE_A_GENDER/NOUN_CLASS_SYSTEM_WHERE_PLANT_STATUS_IS_A_FACTOR_IN_CLASS_ASSIGNMENT?,grambank,
S_ARE_THERE_NUMERAL_CLASSIFIERS?,grambank,
S_ARE_THERE_POSSESSIVE_CLASSIFIERS?,grambank,
S_IS_THE_ADNOMINAL_POSSESSIVE_CONSTRUCTION_DIFFERENT_FOR_ALIENABLE_AND_INALIENABLE_NOUNS?,grambank,
S_WHAT_IS_THE_PRAGMATICALLY_UNMARKED_ORDER_OF_ADNOMINAL_POSSESSOR_NOUN_AND_POSSESSED_NOUN?_POSSESSOR-POSSESSED,grambank,
S_WHAT_IS_THE_PRAGMATICALLY_UNMARKED_ORDER_OF_ADNOMINAL_POSSESSOR_NOUN_AND_POSSESSED_NOUN?_POSSESSED-POSSESSOR,grambank,
"M_DO_CORE_ADJECTIVES_(DEFINED_SEMANTICALLY_AS_PROPERTY_CONCEPTS_SUCH_AS_VALUE,_SHAPE,_AGE,_DIMENSION)_ACT_LIKE_VERBS_IN_PREDICATIVE_POSITION?",grambank,
"M_DO_CORE_ADJECTIVES_(DEFINED_SEMANTICALLY_AS_PROPERTY_CONCEPTS;_VALUE,_SHAPE,_AGE,_DIMENSION)_USED_ATTRIBUTIVELY_REQUIRE_THE_SAME_MORPHOLOGICAL_TREATMENT_AS_VERBS?",grambank,
M_ARE_THERE_MORPHOLOGICAL_CASES_FOR_NON-PRONOMINAL_CORE_ARGUMENTS_(I.E._S/A/P)?,grambank,
M_ARE_THERE_MORPHOLOGICAL_CASES_FOR_PRONOMINAL_CORE_ARGUMENTS_(I.E._S/A/P)?,grambank,
M_ARE_THERE_MORPHOLOGICAL_CASES_FOR_OBLIQUE_NON-PRONOMINAL_NPS_(I.E._NOT_S/A/P)?,grambank,
M_ARE_THERE_MORPHOLOGICAL_CASES_FOR_INDEPENDENT_OBLIQUE_PERSONAL_PRONOMINAL_ARGUMENTS_(I.E._NOT_S/A/P)?,grambank,
S_ARE_THERE_PREPOSITIONS?,grambank,
S_ARE_THERE_POSTPOSITIONS?,grambank,
"M_DO_VERBS_HAVE_PREFIXES/PROCLITICS,_OTHER_THAN_THOSE_THAT_ONLY_MARK_A,_S_OR_P_(DO_INCLUDE_PORTMANTEAU:_A_&_S_+_TAM)?",grambank,
"M_DO_VERBS_HAVE_SUFFIXES/ENCLITICS,_OTHER_THAN_THOSE_THAT_ONLY_MARK_A,_S_OR_P_(DO_INCLUDE_PORTMANTEAU:_A_&_S_+_TAM)?",grambank,
M_IS_THERE_PRODUCTIVE_INFIXATION_IN_VERBS?,grambank,
M_IS_THERE_OVERT_MORPHOLOGICAL_MARKING_OF_PRESENT_TENSE_ON_VERBS?,grambank,
M_IS_THERE_OVERT_MORPHOLOGICAL_MARKING_ON_THE_VERB_DEDICATED_TO_PAST_TENSE?,grambank,
M_IS_THERE_OVERT_MORPHOLOGICAL_MARKING_ON_THE_VERB_DEDICATED_TO_FUTURE_TENSE?,grambank,
M_IS_A_MORPHOLOGICAL_DISTINCTION_BETWEEN_PERFECTIVE_AND_IMPERFECTIVE_ASPECT_AVAILABLE_ON_VERBS?,grambank,
M_CAN_THE_S_ARGUMENT_BE_INDEXED_BY_A_SUFFIX/ENCLITIC_ON_THE_VERB_IN_THE_SIMPLE_MAIN_CLAUSE?,grambank,
M_CAN_THE_S_ARGUMENT_BE_INDEXED_BY_A_PREFIX/PROCLITIC_ON_THE_VERB_IN_THE_SIMPLE_MAIN_CLAUSE?,grambank,
M_CAN_THE_A_ARGUMENT_BE_INDEXED_BY_A_SUFFIX/ENCLITIC_ON_THE_VERB_IN_THE_SIMPLE_MAIN_CLAUSE?,grambank,
M_CAN_THE_A_ARGUMENT_BE_INDEXED_BY_A_PREFIX/PROCLITIC_ON_THE_VERB_IN_THE_SIMPLE_MAIN_CLAUSE?,grambank,
M_CAN_THE_P_ARGUMENT_BE_INDEXED_BY_A_SUFFIX/ENCLITIC_ON_THE_VERB_IN_THE_SIMPLE_MAIN_CLAUSE?,grambank,
M_CAN_THE_P_ARGUMENT_BE_INDEXED_BY_A_PREFIX/PROCLITIC_ON_THE_VERB_IN_THE_SIMPLE_MAIN_CLAUSE?,grambank,
M_ARE_VARIATIONS_IN_MARKING_STRATEGIES_OF_CORE_PARTICIPANTS_BASED_ON_TAM_DISTINCTIONS?,grambank,
M_ARE_VARIATIONS_IN_MARKING_STRATEGIES_OF_CORE_PARTICIPANTS_BASED_ON_VERB_CLASSES?,grambank,
M_ARE_VARIATIONS_IN_MARKING_STRATEGIES_OF_CORE_PARTICIPANTS_BASED_ON_PERSON_DISTINCTIONS?,grambank,
M_CAN_VERB_STEMS_ALTER_ACCORDING_TO_THE_PERSON_OF_A_CORE_PARTICIPANT?,grambank,
M_IS_THERE_A_BENEFACTIVE_APPLICATIVE_MARKER_ON_THE_VERB_(INCLUDING_INDEXING)?,grambank,
M_IS_THERE_AN_INSTRUMENTAL_APPLICATIVE_MARKER_ON_THE_VERB_(INCLUDING_INDEXING)?,grambank,
S_CAN_THE_RECIPIENT_IN_A_DITRANSITIVE_CONSTRUCTION_BE_MARKED_LIKE_THE_MONOTRANSITIVE_PATIENT?,grambank,Kind of between S or M but decided on S because the marker can be an allomorph or not. 
"M_CAN_STANDARD_NEGATION_BE_MARKED_BY_AN_AFFIX,_CLITIC_OR_MODIFICATION_OF_THE_VERB?",grambank,
M_IS_THERE_DIRECTIONAL_OR_LOCATIVE_MORPHOLOGICAL_MARKING_ON_VERBS?,grambank,
M_IS_THERE_VERB_SUPPLETION_FOR_PARTICIPANT_NUMBER?,grambank,
M_IS_THERE_VERB_SUPPLETION_FOR_TENSE_OR_ASPECT?,grambank,
M_ARE_THERE_CONJUGATION_CLASSES?,grambank,
M_ARE_THERE_VERBAL_AFFIXES_OR_CLITICS_THAT_TURN_INTRANSITIVE_VERBS_INTO_TRANSITIVE_ONES?,grambank,
M_IS_THERE_A_PHONOLOGICALLY_BOUND_REFLEXIVE_MARKER_ON_THE_VERB?,grambank,
M_IS_THERE_A_PHONOLOGICALLY_BOUND_RECIPROCAL_MARKER_ON_THE_VERB?,grambank,
"M_DO_VERBS_CLASSIFY_THE_SHAPE,_SIZE_OR_CONSISTENCY_OF_ABSOLUTIVE_ARGUMENTS_BY_MEANS_OF_INCORPORATED_NOUNS,_VERBAL_AFFIXES_OR_SUPPLETIVE_VERB_STEMS?",grambank,
S_IS_THERE_A_COPULA_FOR_PREDICATE_NOMINALS?,grambank,
S_ARE_THERE_SERIAL_VERB_CONSTRUCTIONS?,grambank,
"S_CAN_MOOD_BE_MARKED_BY_AN_INFLECTING_WORD_(""AUXILIARY_VERB"")?",grambank,
"S_CAN_ASPECT_BE_MARKED_BY_AN_INFLECTING_WORD_(""AUXILIARY_VERB"")?",grambank,
"S_CAN_TENSE_BE_MARKED_BY_AN_INFLECTING_WORD_(""AUXILIARY_VERB"")?",grambank,
S_IS_VERB_COMPOUNDING_A_REGULAR_PROCESS?,grambank,
S_ARE_THERE_VERB-ADJUNCT_(AKA_LIGHT-VERB)_CONSTRUCTIONS?,grambank,
S_IS_INCORPORATION_OF_NOUNS_INTO_VERBS_A_PRODUCTIVE_INTRANSITIVIZING_PROCESS?,grambank,Kind of between S or M but decided on S because the incorporated noun can bind morphologically to the verb or be placed adjacent to the verb
S_IS_THERE_AN_EXISTENTIAL_VERB?,grambank,
S_ARE_DIFFERENT_POSTURE_VERBS_USED_OBLIGATORILY_DEPENDING_ON_AN_INANIMATE_LOCATUM'S_SHAPE_OR_POSITION_(E.G._'TO_LIE'_VS._'TO_STAND')?,grambank,
"S_IS_THERE_A_NOTABLY_SMALL_NUMBER,_I.E._ABOUT_100_OR_LESS,_OF_VERB_ROOTS_IN_THE_LANGUAGE?",grambank,
S_WHAT_IS_THE_PRAGMATICALLY_UNMARKED_ORDER_OF_S_AND_V_IN_INTRANSITIVE_CLAUSES?_SV,grambank,
S_WHAT_IS_THE_PRAGMATICALLY_UNMARKED_ORDER_OF_S_AND_V_IN_INTRANSITIVE_CLAUSES?_VS,grambank,
S_IS_A_PRAGMATICALLY_UNMARKED_CONSTITUENT_ORDER_VERB-INITIAL_FOR_TRANSITIVE_CLAUSES?,grambank,
S_IS_A_PRAGMATICALLY_UNMARKED_CONSTITUENT_ORDER_VERB-MEDIAL_FOR_TRANSITIVE_CLAUSES?,grambank,
S_IS_A_PRAGMATICALLY_UNMARKED_CONSTITUENT_ORDER_VERB-FINAL_FOR_TRANSITIVE_CLAUSES?,grambank,
S_IS_THE_ORDER_OF_CONSTITUENTS_THE_SAME_IN_MAIN_AND_SUBORDINATE_CLAUSES?,grambank,
