code,"name","lat","lon","families"
abee1242,"Abé",5.59682,-4.38497,"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Agneby"
bank1256,"Bankon",4.3702,9.6403,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa-Yaunde (A40-70), Basaa (A.40), Abo-Barombi"
amba1267,"Ambala Ayta",14.8156,120.283,"Austronesian, Malayo-Polynesian, Central Luzon, Sambalic"
cama1250,"Camarines Norte Agta",14.1571,122.835,"Austronesian, Malayo-Polynesian, Greater Central Philippine, Central Philippine, Alabat-Manide Agta"
west2630,"Western Abenaki",46.1381,287.3489,"Algic, Algonquian-Blackfoot, Algonquian, Eastern Algonquian, Maritimes-Southern New England Algonquian, Northern Eastern Algonquian, Abenaki"
abai1240,"Abai Sungai",5.55394,118.306,"Austronesian, Malayo-Polynesian, North Borneo Malayo-Polynesian, Sabahan, Southwest Sabahan, Greater Dusunic, Paitanic"
abag1245,"Abaga",-6.12028,145.665,"Nuclear Trans New Guinea, Kainantu-Goroka, Goroka, Nuclear Goroka, Siane-Yagaria, Kamano-Yagaria, Unclassified Kamano-Yagaria"
taji1248,"Tajiki Arabic",37.2176,67.3267,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Eastern Arabic, Central Asian Arabic"
abid1235,"Abidji",5.65656,-4.58421,"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Agneby"
akab1249,"Akabea",12.3782,92.7818,"Great Andamanese, South Great Andamanese"
abkh1244,"Abkhaz",43.056218,41.159115,"Abkhaz-Adyge, Abkhaz-Abaza"
lamp1242,"Lampung Nyo",-4.43957,105.397,"Austronesian, Malayo-Polynesian, Lampungic"
aban1242,"Abanyom",6.30619,8.63055,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Ekoid-Mbe, Ekoid, Bakor-Ejagham, Bakor, Northern Bakor, Abanyom-Nkem-Nkum"
abua1244,"Abua",4.83057,6.61492,"Atlantic-Congo, Volta-Congo, Benue-Congo, Delta Cross, Central Delta, Abua-Odual"
abon1238,"Abon",6.90621,10.8769,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Tivoid, North Tivoid"
aben1249,"Abenlen Ayta",15.4131,120.2,"Austronesian, Malayo-Polynesian, Central Luzon, Sambalic, Abellen-Botolan"
abaz1241,"Abaza",44.25,42,"Abkhaz-Adyge, Abkhaz-Abaza"
abro1238,"Abron",7.72094,-2.50289,"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Central Tano, Akanic"
ambo1250,"Ambonese Malay",-3.71342,128.184,"Austronesian, Malayo-Polynesian, Malayo-Chamic, Malayic, Nuclear Malayic, Vehicular Malay, Eastern Indonesia Trade Malay, Ambonic Malay"
ambu1247,"Ambulas",-3.7801,143.059,"Ndu, Nuclear Ndu, Ambulas-Hanga-Hundi"
abur1243,"Abure",5.21534,-3.64123,"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Western Tano"
baha1259,"Baharna Arabic",26.223615,50.580811,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Arabian Peninsula Arabic, North Arabian Beduin Arabic"
pall1244,"Pal",-4.756,145.24,"Nuclear Trans New Guinea, Madang, Croisilles, Omosan"
inab1237,"Inabaknon",12.4264,124.166,"Austronesian, Malayo-Polynesian, Basap-Greater Barito, Greater Barito linkage, Sama-Bajaw"
anem1248,"Aneme Wake",-9.75911,148.479,"Yareban, Doriri-Abia"
abui1241,"Abui",-8.31058,124.588,"Timor-Alor-Pantar, Alor-Pantar, Nuclear Alor-Pantar, Central Alor, Abuic"
acha1250,"Achagua",4.38649,287.7995,"Arawakan, Japura-Colombia, Nuclear Japura-Colombia, Northeast Japura-Colombia, Piapoco-Achagua"
anca1236,"Áncá",6.66524,11.1087,"Bookkeeping"
giky1238,"Gikyode",8.39478,0.56975,"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Guang, North Guang, Oti North Guang, Mountain Oti North Guang, Gikyode-Ginyanga, Gikyode-Foodo"
achi1257,"Acehnese",3.90757,96.6032,"Austronesian, Malayo-Polynesian, Malayo-Chamic, Aceh-Chamic"
sain1246,"Saint Lucian Creole French",15.3947,298.6359,"Indo-European, Classical Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Northwestern Shifted Romance, Gallo-Rhaetian, Oil, Central Oil, Macro-French, Circum-Caribbean French, Lesser Antillean French Creole"
acol1236,"Acoli",3.57738,32.5147,"Nilotic, Western Nilotic, Lwoo, Southern Lwoo"
akac1240,"Akacari",13.49086,92.94855,"Great Andamanese, North Andamanese-Akakede, Northern Great Andamanese, Bo-Cari"
akak1251,"Akakora",12.0944,92.7466,"Great Andamanese, North Andamanese-Akakede, Northern Great Andamanese, Jeru-Kora"
akar1243,"Akarbale",12.6663,92.8278,"Great Andamanese, South Great Andamanese"
meso1252,"Gilit Mesopotamian Arabic",33.8178,43.1095,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Eastern Arabic"
acha1249,"Longchuan Achang",24.3479,97.7438,"Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Burmish, Southern Burmish, Achangic"
east2403,"Eastern Acipa",10.7104,6.0105,"Atlantic-Congo, Volta-Congo, Benue-Congo, Kainji, Central Kainji, Shiroro-Kamuku, Kamuku-Hungwarya, Kamuku, Rogo-Sagamuk-Sama-Sambuga, Sagamuk-Sama-Sambuga"
taiz1242,"Ta'izzi-Adeni Arabic",13.6555,45.6411,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Arabian Peninsula Arabic"
achi1256,"Achi",15.073,269.6487,"Mayan, Core Mayan, Quichean-Mamean, Greater Quichean, Core Quichean, Quiche-Achi"
acro1239,"Acroá",-12.594,319.78555,"Nuclear-Macro-Je, Je, Je Central"
acht1238,"Achterhoeks",52.021,6.47521,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Altsächsisch, Middle-Modern Low German, Low German, West Low German, Westphalic"
achu1248,"Achuar-Shiwiar",-2.82646,282.7359,"Chicham, Shuaric"
achu1247,"Achumawi",41.0979,238.809,"Palaihnihan"
hija1235,"Hijazi Arabic",22.8346,38.9237,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Arabian Peninsula Arabic"
oman1239,"Omani Arabic",23.25,58.5,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Arabian Peninsula Arabic, North Arabian Beduin Arabic"
cypr1248,"Cypriot Arabic",35.1674,33.0943,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Levantine-Cypriot Arabic"
ache1245,"Acheron",10.8827,30.3187,"Narrow Talodi, Buram-Saraf, Acheron-Tocho"
adan1247,"Adangme",5.9437,0.13243,"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Ga-Dangme"
adab1235,"Adabe",-8.22674,125.576,"Bookkeeping"
dzod1238,"Dzodinka",6.89005,10.7633,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Wide Grassfields, Narrow Grassfields, Mbam-Nkam, Nkambe"
adel1244,"Adele",8.16975,0.619185,"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Na-Togo, Basila-Adele"
dhof1235,"Dhofari Arabic",17.0796,54.4894,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Arabian Peninsula Arabic, North Arabian Beduin Arabic, Dhofaric"
ande1247,"Andegerebinha",-22.51278,137.3515,"Pama-Nyungan, Arandic-Thura-Yura, Arandic, South Arandic, Upper Arrernte, Central-Eastern Arrernte"
adho1243,"Adhola",0.73235,34.0341,"Nilotic, Western Nilotic, Lwoo, Southern Lwoo, Adhola-Alur-Luo, Adhola-Luo"
bori1243,"Bori-Karko",27.62812,94.3538,"Sino-Tibetan, Macro-Tani, Tani, Eastern Tani"
adio1239,"Adioukrou",5.38228,-4.52522,"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Agneby"
galo1242,"Galo",27.9805586,94.6884956,"Sino-Tibetan, Macro-Tani, Tani, Pre-Western Tani, Western Tani, Subansiri"
adan1251,"Adang",-8.18958,124.448,"Timor-Alor-Pantar, Alor-Pantar, Nuclear Alor-Pantar, West Alor-Straits-Pantar, West Alor"
abuu1241,"Abu",-4.24027,144.474,"Ramu, Agoan"
adan1248,"Adangbe",6.50546,0.727155,"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Gbe, Western Gbe, Eweic"
adon1237,"Adonara",-8.32027,123.159,"Austronesian, Malayo-Polynesian, Bima-Lembata, Flores-Lembata, Lamaholot Barat, North Lembata-Adonara"
adam1238,"Adamorobe Sign Language",5.834,-0.151,"Sign Language, L1 Sign Language"
adny1235,"Adnyamathanha",-30.1451,138.671,"Pama-Nyungan, Arandic-Thura-Yura, Thura-Yura, Core Thura Yura, Northern Thura-Yura"
adug1238,"Aduge",7.64567,6.13085,"Bookkeeping"
amun1246,"Amundava",-9.04023,297.6936,"Tupian, Eastern Tupian, Maweti-Guarani, Aweti-Guarani, Tupi-Guarani, Tupi-Guarani Subgroup VI, Kawahiwa Meridionais, Amondava-Uru-Eu-Wau-Wau"
amdo1237,"Amdo Tibetan",34.5177,100.485,"Sino-Tibetan, Bodic, Bodish, Early Old Tibetan, Middle Old Tibetan, North-Eastern Tibetic"
adyg1241,"West Circassian",44,39.33,"Abkhaz-Adyge, Circassian"
adze1240,"Adzera",-6.39394,146.294,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, North New Guinea linkage, Huon Gulf, Markham, Upper Markham"
areb1238,"Areba",-16.63548,142.63107,"Pama-Nyungan, Paman, Norman Pama, Kuthant-Gurdjar, Rib-Gurdjar"
tuni1259,"Tunisian Arabic",33.7966,9.56156,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, North African Arabic, Malta-Tunisian Arabic"
said1239,"Saidi Arabic",25.4132,30.5302,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Egyptic Arabic, Egypto-Sudanic Arabic"
arge1236,"Argentine Sign Language",-34.797,300.8202,"Sign Language, L1 Sign Language"
nort2666,"Northeast Pashayi",34.878256,70.890845,"Indo-European, Classical Indo-European, Indo-Iranian, Indo-Aryan, Pashayi, Eastern Pashayi"
haek1239,"Haeke",-21.0735,164.869,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Southern Melanesian, New Caledonian, Mainland New Caledonian, Northern New Caledonian, Mid-Northern New Caledonian, Voh-Kone-Cem-Pac, Voh-Kone, Bwatooic, Haeke-Bwatoo"
ambe1247,"Ambele",5.94043,9.62028,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Wide Grassfields"
arem1240,"Arem",17.7672,105.928,"Austroasiatic, Vietic, Chutic, East Chutic"
arme1259,"Baraninsky Armenian Sign Language",40.1002,44.4767,"Sign Language, Auxiliary Sign Systems"
aerr1238,"Aer",25.254,69.029,"Indo-European, Classical Indo-European, Indo-Iranian, Indo-Aryan, Middle-Modern Indo-Aryan, Continental Indo-Aryan, Midlands Indo-Aryan, Apabhramsic, Gujarati-Rajasthani, Gujaratic, Western Gujaratic"
east2379,"Eastern Arrernte",-23.3583,135.046,"Pama-Nyungan, Arandic-Thura-Yura, Arandic, South Arandic, Upper Arrernte, Central-Eastern Arrernte"
alse1251,"Alsea-Yaquina",44.408,236.06,""
akeu1235,"Akeu",22.1959,101.0823,"Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Hani-Jino, Bisoid-Hanic, Hanic, Ha-Ya, Akhaic"
amba1269,"Ambakich",-4.23181,144.285,"Keram, East Keram"
amel1241,"Amele",-5.29126,145.687,"Nuclear Trans New Guinea, Madang, Croisilles, Mabuso, Gum"
aeka1244,"Aeka",-8.855095,147.99477,"Nuclear Trans New Guinea, Greater Binanderean, Binanderean, Nuclear Binanderean, South Binanderean, Orokaivic"
gulf1241,"Gulf Arabic",30.17,47.5,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Arabian Peninsula Arabic, North Arabian Beduin Arabic"
anda1283,"Andai",-4.96449,143.637,"Arafundi"
putu1241,"Utugwang-Irungene-Afrike",6.65923,8.96041,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Bendic, Nuclear Bendic"
afgh1239,"Afghan Sign Language",34.434167,70.447778,"Sign Language, L1 Sign Language"
afri1275,"Afrihili",NA,NA,"Artificial Language"
akru1241,"Chini",-4.88687,144.821,"Ramu, Goam, Tamolan"
nanu1240,"Nanubae-Imangae",-4.71731,143.937,"Arafundi"
defa1248,"Defaka",4.58451,7.50186,"Ijoid"
eloy1241,"Ajiri",8.24696,7.97061,"Atlantic-Congo, Volta-Congo, Benue-Congo, Benue-Congo Plateau"
tape1242,"Tapei",-4.77763,143.337,"Arafundi"
afri1274,"Afrikaans",-22,30,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, Macro-Dutch, Middle-Modern Dutch, Modern Dutch, Global Dutch, Afrikaansic"
afro1254,"Afro-Seminole Creole",31.7843,260.7066,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Anglo-Frisian, Anglic, Later Anglic, Middle-Modern English, Macro-English, Guinea Coast Creole English, Caribbean English Creole, Eastern Caribbean Creole, Gullah-Nevis-Antigua, Gullah"
afit1238,"Afitti",12.446,30.7611,"Nyimang"
awut1241,"Awutu",5.42441,-0.59545,"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Guang, South Guang"
obok1239,"Obokuitai",-2.88029,137.924,"Lakes Plain, Tariku, East Tariku, Eritai-Obokuitai-Biritai"
agua1251,"Aguano",-5.25,284.1667,"Unattested, Arawakan (Unattested)"
legb1242,"Legbo",6.02645,7.98385,"Atlantic-Congo, Volta-Congo, Benue-Congo, Delta Cross, Upper Cross, Central Upper Cross, East-West Central Delta Cross, Mbembe-Legbo, Legboic"
agat1236,"Agatu",7.97915,7.71639,"Atlantic-Congo, Volta-Congo, Benue-Congo, Idomoid, Akweya, Etulo-Idoma, Nuclear Idoma"
agar1252,"Agarabi",-6.20604,145.917,"Nuclear Trans New Guinea, Kainantu-Goroka, Kainantu, Gauwa, Gadsup-Agarabi"
anga1293,"Angal",-6.0127,143.592,"Nuclear Trans New Guinea, Enga-Kewa-Huli, Kewa-Huli, Sau-Angal-Kewa, Angal-Kewa, Angal Mendi"
argu1237,"Arguni",-2.645798,132.5556,"Austronesian, Malayo-Polynesian, Tanimbar-Bomberai, Eastern Bomberai, Nuta"
ango1254,"Angor",-3.7167,141.199,"Senagi"
ngel1238,"Ngelima",1.81314,24.8754,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, North Zaire River, Rivers Bantu, Ngiri, Ngiri Terrien, Ngombe-Ababuan, Ababuan, Old Bomokandian, Middle Bomokandian, Late Bomokandian"
agar1251,"Agariya",24.5024,82.297,"Unattested, Dravidian (Unattested)"
argo1244,"Argobba",10.6596,39.756,"Afro-Asiatic, Semitic, West Semitic, Ethiosemitic, South Ethiopic, Amharic-Argobba"
isar1235,"Isarog Agta",13.651,123.332,"Austronesian, Malayo-Polynesian, Greater Central Philippine, Central Philippine, Bikol, Inagta Bikol"
femb1238,"Fembe",-5.71596,142.254,"East Strickland"
anga1290,"Angaataha",-7.15012,146.352,"Angan"
agut1237,"Agutaynen",10.5328,119.655,"Austronesian, Malayo-Polynesian, Kalamian"
tain1253,"Tainae",-7.40306,145.682,"Angan, Nuclear Angan, Ankave-Tainae-Akoye, Tainae-Akoye"
para1320,"Paranan-Pahanan",17.04111,122.37028,"Austronesian, Malayo-Polynesian, Northern Luzon, Northeastern Luzon, Nuclear Northeastern Luzon"
aghe1239,"Aghem",6.38956,10.0807,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Wide Grassfields, Narrow Grassfields, Ring, Center-West Ring, West Ring, Aghemic, Aghem-Weh"
agua1253,"Aguaruna",-5.30044,282.0782,"Chicham"
esim1238,"Esimbi",6.50094,9.86936,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Tivoid"
cent2084,"Central Cagayan Agta",17.9571,121.857,"Austronesian, Malayo-Polynesian, Northern Luzon, Cagayan Valley, Ibanagic, Gaddangic"
agua1252,"Aguacateco",15.3307,268.6847,"Mayan, Core Mayan, Quichean-Mamean, Greater Mamean, Ixilan"
remo1247,"Hatang Kayi",14.6254,121.453,"Austronesian, Malayo-Polynesian, Central Luzon"
kahu1241,"Kahua",-10.6963,162.191,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Southeast Solomonic, Longgu-Malaita-Makira, Malaita-Makira, Makira"
aghu1253,"Aghul",41.9242,47.5843,"Nakh-Daghestanian, Daghestanian, Lezgic, Samur, Eastern Samur, Tabasaran-Aghul-Lezgi, Aghul-Lezgi, Aghulic"
sout2905,"Southern Alta",15.1841,121.054,"Austronesian, Malayo-Polynesian, Northern Luzon, Meso-Cordilleran"
mtir1235,"Mt. Iriga Agta",13.4566,123.463,"Austronesian, Malayo-Polynesian, Greater Central Philippine, Central Philippine, Bikol, Inagta Bikol"
ahan1243,"Ahanta",4.85147,-1.94657,"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Central Tano, Bia, Southern Bia"
axam1237,"Axamb",-16.4838,167.707,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, North and Central Vanuatu, Central Vanuatu, Malakula, Eastern Malakula linkage, Central-Southeast Malakula, Southeastern Malakula linkage, Port Sandwich-Axamb-Avok"
qima1242,"Qimant",12.8119,37.0542,"Afro-Asiatic, Cushitic, Agaw, Northern-Eastern-Western Agaw"
aghu1255,"Aghu",-6.34674,140.043,"Nuclear Trans New Guinea, Asmat-Awyu-Ok, Awyu-Ok, Greater Awyu, Awyu-Dumut, Awyu, Mappi-Digul Awyu"
tiag1235,"Tiagbamrin Aizi",5.28022,-4.62352,"Kru, Greater Western Kru, Western Kru, Grebo-Aizi, Aizi"
akha1245,"Akha",21.2309,100.964,"Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Hani-Jino, Bisoid-Hanic, Hanic, Ha-Ya, Akhaic"
igoo1238,"Igo",7.25499,0.67846,"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Ka-Togo, Kposo-Ahlo-Bowili"
mobu1235,"Mobumrin Aizi",5.26847,-4.47303,"Kru, Greater Western Kru, Western Kru, Grebo-Aizi, Aizi"
ahan1244,"Àhàn",7.44139,6.00896,"Atlantic-Congo, Volta-Congo, Benue-Congo, Defoid, Ayere-Ahan"
ahom1240,"Ahom",27.2778,88.464,"Tai-Kadai, Kam-Tai, Daic-Beic, Daic, Central-Southwestern Tai, Wenma-Southwestern Tai, Sapa-Southwestern Tai, Southwestern Tai, Southwestern Tai P, Shanic, Sukaphic"
apro1235,"Aproumu Aizi",5.20273,-4.52192,"Atlantic-Congo, Volta-Congo, Unclassified Volta-Congo"
ahir1243,"Ahirani",21.552,73.685,"Bookkeeping"
ashe1269,"Ashe",9.36574,7.39443,"Atlantic-Congo, Volta-Congo, Benue-Congo, Benue-Congo Plateau, Western Benue-Congo Plateau, Northwestern Benue-Congo Plateau, Koroic, Tinoric"
ahte1237,"Ahtena",61.7068,215.111,"Athabaskan-Eyak-Tlingit, Athabaskan-Eyak, Athabaskan, Southern Alaskan Athabaskan"
aros1241,"Arosi",-10.2441,161.432,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Southeast Solomonic, Longgu-Malaita-Makira, Malaita-Makira, Makira"
ainu1251,"Ainu (China)",39.2714,76.4209,"Turkic, Common Turkic, Kipchak-Turkestan, Turkestan, Modern Turkestan, Uyghuric"
ainb1238,"Ainbai",-3.09214,141.149,"Border, Bewani, Pagi-Kilmeri"
alng1239,"Alngith",-12.5324,141.938,"Pama-Nyungan, Paman, Northern Pama, Linngithigh-Alngith"
amar1272,"Amara",-5.55778,148.68,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, North New Guinea linkage, Ngero-Vitiaz linkage, Vitiaz linkage, Southwest New Britain linkage"
agii1245,"Agi",-3.49104,142.387,"Nuclear Torricelli, Wapei-Palei, West Palai, Agi-Yeri"
anti1245,"Antigua and Barbuda Creole English",17.068263,298.178137,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Anglo-Frisian, Anglic, Later Anglic, Middle-Modern English, Macro-English, Guinea Coast Creole English, Caribbean English Creole, Eastern Caribbean Creole, Gullah-Nevis-Antigua"
aich1238,"Ai-Cham",25.4908,107.844,"Tai-Kadai, Kam-Tai, Kam-Sui, Then-MMS, Maonan-Mak-Sui, Mak-Ai-Cham"
assy1241,"Assyrian Neo-Aramaic",36.75,43,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Northwest Semitic, Aramaic, Imperial-Middle-Modern Aramaic, Middle-Modern Aramaic, Eastern Aramaic, Central Eastern Aramaic, North-Eastern Neo-Aramaic"
lish1245,"Lishanid Noshan",36.213298,44.065281,"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Northwest Semitic, Aramaic, Imperial-Middle-Modern Aramaic, Middle-Modern Aramaic, Eastern Aramaic, Central Eastern Aramaic, North-Eastern Neo-Aramaic, Trans-Zab, Western Trans-Zab"
akee1238,"Akye",8.59543,8.75768,"Atlantic-Congo, Volta-Congo, Benue-Congo, Benue-Congo Plateau, Alumic, Jilic-Eggonic, Eggon-Ake"
aime1238,"Aimele",-6.68656,142.656,"Bosavi, Bosavi Watershed"
aimo1244,"Aimol",24.6437,94.3556,"Sino-Tibetan, Kuki-Chin-Naga, Kuki-Chin, Northwestern Kuki-Chin, Central Old Kuki"
ainu1240,"Hokkaido Ainu",43.633654,142.46167,"Ainu, Hokkaido-Kuril Ainu"
aito1238,"Aiton",26.5145,92.3169,"Tai-Kadai, Kam-Tai, Daic-Beic, Daic, Central-Southwestern Tai, Wenma-Southwestern Tai, Sapa-Southwestern Tai, Southwestern Tai, Southwestern Tai P, Shanic, Sukaphic, Mogaung, Assam Tai A"
buru1307,"Burumakok",-5.12217,140.03,"Nuclear Trans New Guinea, Asmat-Awyu-Ok, Awyu-Ok, Ok-Oksapmin, Ok, Kwer-Kopkaka-Burumakok, Kwer-Burumakok"
aima1241,"Aimaq",35.283,59.1756,"Indo-European, Classical Indo-European, Indo-Iranian, Iranian, Southwestern Iranian, Middle-Modern Persian, Modern Southwestern Iranian, Farsic-Caucasian Tat, Farsic, Eastern Farsic"
airo1242,"Airoran",-1.8522,138.158,"Greater Kwerba, Kwerba-Samarokena, Samarokena-Airoran"
nata1254,"Northern Amis",23.9386,121.59,"Austronesian, East Formosan, Central East Formosan, Amis"
arik1264,"Arikem",-8.924,296.258,"Tupian, Arikem-Tupari, Arikemic"
aari1239,"Aari",5.95034,36.5721,"South Omotic, AHK, Aari-Gayil"
aigh1235,"Aighon",-5.99488,150.272,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, North New Guinea linkage, Ngero-Vitiaz linkage, Vitiaz linkage, Southwest New Britain linkage, Arawe-Pasismanua, Pasismanua"
alii1240,"Ali",4.60014,18.0352,"Atlantic-Congo, Volta-Congo, North Volta-Congo, Gbaya-Manza-Ngbaka, Gbaya Oriental, Gbanu-Manza-Ngbaka, Manza-Ngbaka, Manzaic, Ngbaka-Manza-Ali"
ajas1235,"Aja (South Sudan)",8.58003,25.6122,"Kresh-Aja"
ajab1235,"Aja (Benin)",7.06634,1.64992,"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Gbe"
